id_municipio,projecao_2033,inclinacao_aa,n_obs,classificacao_2033,sigla_uf,regiao,porte,populacao_urbana,tendencia_icr_sm_aa
1200807,86.0403188405794,-0.5356956521739166,24.0,will_not_meet,AC,Norte,<5 mil,2550.0,-0.14124656962102108
1300029,0.0,-2.6484654731459076,16.0,will_not_meet,AM,Norte,5-20 mil,9179.0,0.0948570724591173
1300060,113.86362297496544,0.8203976435936233,10.0,on_track,AM,Norte,5-20 mil,5890.0,-0.01658654103181662
1300086,101.84274611398956,0.20595854922279455,5.0,on_track,AM,Norte,5-20 mil,5703.0,-0.02921866499455227
1300102,,,2.0,,AM,Norte,5-20 mil,13162.0,
1300144,,,1.0,,AM,Norte,5-20 mil,10783.0,
1300201,85.77606825749163,0.14460321864594344,9.0,will_not_meet,AM,Norte,5-20 mil,9493.0,-0.3291247494463562
1300300,44.26592195412644,-0.07228179922546689,19.0,will_not_meet,AM,Norte,5-20 mil,17728.0,-0.17634825165465234
1300409,95.1949999999996,0.1926923076922911,8.0,at_risk,AM,Norte,5-20 mil,12048.0,-0.15172881817649012
1300508,117.62376237623539,1.385643564356406,4.0,on_track,AM,Norte,5-20 mil,14944.0,
1300607,64.192180229639,-0.5192581930171063,22.0,will_not_meet,AM,Norte,20-50 mil,27047.0,-0.2454296010004679
1300631,127.91600000000426,1.9820000000001285,5.0,on_track,AM,Norte,5-20 mil,10298.0,-0.1251976084063315
1300680,98.2616143497758,-0.05838565022421557,9.0,at_risk,AM,Norte,5-20 mil,10101.0,-0.21899820644298648
1300706,90.84494584837546,0.5297833935017957,6.0,at_risk,AM,Norte,20-50 mil,22080.0,-0.7392616367778433
1300805,137.01601260383995,2.4788885706100716,12.0,on_track,AM,Norte,5-20 mil,17476.0,-0.05678664622705538
1300839,,,0.0,,AM,Norte,<5 mil,3203.0,
1300904,59.896577380950475,-1.9010416666668024,7.0,will_not_meet,AM,Norte,5-20 mil,8383.0,0.026391169487527195
1301001,101.34712276214873,0.4356138107417053,16.0,on_track,AM,Norte,20-50 mil,22000.0,-0.035909317550401346
1301100,92.43506860371292,-0.36049233252620433,8.0,at_risk,AM,Norte,5-20 mil,11192.0,-0.32043350979632235
1301159,98.46790281329919,-0.060485933503839066,16.0,at_risk,AM,Norte,<5 mil,1315.0,0.06034976887923125
1301209,2.160574412533151,-1.4548302872062793,7.0,will_not_meet,AM,Norte,50-100 mil,56676.0,-0.26500944282285277
1301308,27.630370843988203,-2.048145780051222,16.0,will_not_meet,AM,Norte,20-50 mil,20223.0,-0.060041317310356605
1301407,70.68133725202128,0.13245162870441363,18.0,will_not_meet,AM,Norte,20-50 mil,26110.0,-0.2099005230195653
1301506,150.0,4.5874999999998725,10.0,on_track,AM,Norte,5-20 mil,13400.0,0.0
1301605,53.67788331071483,-0.8784260515605401,6.0,will_not_meet,AM,Norte,5-20 mil,10870.0,-0.2554302879824252
1301654,111.57999999999947,1.7381818181818556,10.0,on_track,AM,Norte,5-20 mil,9138.0,0.0
1301704,120.44426787741168,1.754483541430277,6.0,on_track,AM,Norte,20-50 mil,39444.0,-0.2075575820637827
1301803,106.60931034482792,0.5248275862069175,4.0,on_track,AM,Norte,5-20 mil,13306.0,-0.0503664531861894
1301852,102.73348174532475,0.5672009498367231,11.0,on_track,AM,Norte,20-50 mil,35330.0,-0.48580083948772157
1301902,97.35677655677654,-0.07344322344322218,14.0,at_risk,AM,Norte,50-100 mil,69681.0,-0.2035269939885236
1301951,23.388299232736244,-1.5585038363171595,16.0,will_not_meet,AM,Norte,<5 mil,4327.0,-0.13039917504801088
1302009,104.2688932806326,0.3073913043478254,11.0,on_track,AM,Norte,5-20 mil,7316.0,-0.4585399184218534
1302108,,,0.0,,AM,Norte,,,
1302207,84.63401534527004,0.07007672634278687,16.0,will_not_meet,AM,Norte,5-20 mil,8156.0,-0.1940188675506649
1302306,,,1.0,,AM,Norte,5-20 mil,10552.0,
1302405,59.035742187500546,-1.0134440104166191,10.0,will_not_meet,AM,Norte,20-50 mil,30618.0,-0.2693771041885794
1302504,112.704175299805,0.9104665034218076,16.0,on_track,AM,Norte,50-100 mil,70402.0,-0.21476870384161106
1302553,57.58753196930911,-1.4123401534527316,16.0,will_not_meet,AM,Norte,5-20 mil,10525.0,-0.005198302507908132
1302603,87.00206549118326,-0.25008816120908145,24.0,will_not_meet,AM,Norte,500 mil+,2244470.0,-0.4086049939257855
1302702,104.07625422244473,0.5873389215563599,14.0,on_track,AM,Norte,20-50 mil,24845.0,-0.30562853312280863
1302801,,,2.0,,AM,Norte,<5 mil,4680.0,
1302900,98.300331125828,0.06523178807947926,13.0,at_risk,AM,Norte,20-50 mil,32164.0,-0.18933813685563533
1303007,150.0,7.1386861313859695,5.0,on_track,AM,Norte,5-20 mil,8326.0,0.3794566746169549
